"","pred8_svm"
"15324","1"
"16361","0"
"22881","0"
"28635","0"
"31410","0"
"22127","0"
"21997","0"
"22331","0"
"32163","0"
"19729","1"
"15982","0"
"31010","0"
"8971","0"
"28794","0"
"32721","1"
"6323","1"
"37401","0"
"7781","0"
"20809","1"
"36570","1"
"18558","0"
"30675","1"
"19369","0"
"14177","1"
"17219","1"
"22812","0"
"27560","0"
"26535","0"
"14820","0"
"23746","0"
"12896","1"
"28700","1"
"15992","1"
"35332","0"
"9302","0"
"12122","0"
"27376","0"
"24145","0"
"20928","0"
"19141","0"
"12929","0"
"21436","0"
"2055","0"
"32605","1"
"16240","0"
"27456","1"
"3983","0"
"26011","0"
"26657","0"
"30991","1"
"32973","0"
"23740","0"
"34889","0"
"29178","0"
"4131","0"
"19345","1"
"38168","0"
"945","1"
"31127","0"
"31084","1"
"18829","0"
"38719","0"
"17567","1"
"24351","0"
"19831","0"
"3385","0"
"27305","1"
"37045","0"
"8602","0"
"38830","1"
"34819","0"
"8173","0"
"38013","1"
"6086","1"
"11795","0"
"28435","1"
"19931","1"
"36958","0"
"10519","1"
"3116","1"
"4445","0"
"16915","0"
"27420","1"
"25018","0"
"6963","1"
"27064","1"
"15764","1"
"22941","1"
"16065","0"
"18173","1"
"6647","0"
"3987","1"
"26752","0"
"18376","0"
"7934","0"
"6928","0"
"14329","0"
"37415","1"
"16335","0"
"28175","0"
"34761","0"
"14171","0"
"21055","0"
"25283","0"
"1099","0"
"9686","1"
"1084","0"
"32018","0"
"32960","1"
"4587","0"
"5087","0"
"14807","1"
"16528","0"
"2928","1"
"32292","1"
"20344","0"
"6568","0"
"26456","0"
"26753","0"
"18724","0"
"30426","1"
"31875","0"
"17937","1"
"10791","0"
"8488","1"
"17799","0"
"34130","1"
"30934","1"
"39937","0"
"23652","0"
"20058","0"
"30458","1"
"23503","0"
"12506","1"
"18443","1"
"32252","0"
"18131","0"
"28875","1"
"10210","1"
"17202","0"
"18359","1"
"13086","0"
"27354","0"
"18416","0"
"20814","0"
"14729","0"
"5872","1"
"10975","0"
"32727","1"
"34301","1"
"12417","1"
"9764","1"
"16164","1"
"28206","0"
"32597","0"
"3025","0"
"3338","0"
"36986","0"
"31445","0"
"17211","0"
"16172","0"
"19129","0"
"21419","1"
"1459","0"
"36589","0"
"33438","1"
"31802","1"
"1265","0"
"8548","0"
"28933","0"
"20226","1"
"28109","1"
"82","0"
"35713","0"
"24666","0"
"19632","0"
"39225","1"
"32473","1"
"31025","0"
"21392","1"
"6541","0"
"39390","0"
"16738","1"
"20723","1"
"30603","0"
