UniqueID,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,noDescription,charCountDescription,upperCaseDescription,startprice_99end
10001,not biddable,159.99,used,No cellular,None,Black,16/32/64 GB,iPad 2,0,no description,45,1,99 ending
10002,biddable,0.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 2,1,no description,100,2,99 ending
10003,not biddable,199.99,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10004,not biddable,235,new,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,0,contains description,0,0,not a 99 ending
10005,not biddable,199.99,refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,no description,100,2,99 ending
10006,biddable,175,used,Cellular,AT&T,Space Gray,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10007,biddable,100,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10008,not biddable,329.99,new,No cellular,None,White,16/32/64 GB,iPad mini3,0,contains description,0,0,99 ending
10009,biddable,0.99,used,Cellular,Unknown,White,16/32/64 GB,iPad 1,1,contains description,0,0,99 ending
10010,biddable,150,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10011,not biddable,199.99,used,No cellular,None,Black,16/32/64 GB,iPad 4,1,no description,92,0,99 ending
10012,not biddable,99.99,refurbished,No cellular,None,White,16/32/64 GB,iPad 1,0,contains description,0,0,99 ending
10013,biddable,20,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,no description,96,41,not a 99 ending
10014,not biddable,75,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10015,not biddable,199.99,refurbished,No cellular,None,White,16/32/64 GB,iPad 4,1,no description,98,3,99 ending
10016,not biddable,344.95,new,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10017,not biddable,184.5,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,no description,100,4,not a 99 ending
10018,not biddable,209.98,refurbished,No cellular,None,White,16/32/64 GB,iPad mini 2,0,no description,100,6,not a 99 ending
10019,not biddable,375,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10020,not biddable,95,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10021,not biddable,125,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,16,1,not a 99 ending
10022,not biddable,187.5,used,No cellular,None,Black,16/32/64 GB,iPad 3,0,no description,84,3,not a 99 ending
10023,not biddable,129.99,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,0,no description,27,23,99 ending
10024,not biddable,329.99,new,Unknown,Unknown,Space Gray,Unknown,Unknown,0,contains description,0,0,99 ending
