CUSTOMER_ID,LOYALTY_SEGMENT,CHEFS_TABLE,AGE, INCOME ,GENDER,ZIP_CODE,DMA,GEOGRAPHY,ACQUIRED_DATE,12_Mo_DELIVERY_FEE_PAID,12_Mo_DELIVERYPASS_USED,12_Mo_ DISCOUNT_AMOUNT,12_Mo_Orders,12_Mo_ORDERS_W_PROMO,12_Mo_Sales,24_Mo_DELIVERY_FEE_PAID,24_Mo_DELIVERYPASS_USED,24_Mo_DISCOUNT_AMOUNT,24_Mo_Orders,24_Mo_Orders_w_Promo,24_Mo_Sales,SUNDAY_ORDERS_12_MO,MONDAY_ORDERS_12_MO,TUESDAY_ORDERS_12_MO,WEDNESDAY_ORDERS_12_MO,THURSDAY_ORDERS_12_MO,FRIDAY_ORDERS_12_MO,SATURDAY_ORDERS_12_MO,AlcoholicBeverages,BabyBoutique,Bakery,Bread,Catering,Dairy,DeliandCheese,Floral,Freezer,Grocery,HealthandBeautyAids,HouseholdEssentials,Kitchen,MealKit,Meat,NonalcoholicBeverages,PetShop,Poultry,Produce,Seafood,Snacks
1034782,Weekly Shoppers,1,46,"$150,000 ",F,10280,NY-NJ,Manhattan,9/1/02,$0.00 ,35,$2.02 ,58,6,"$8,109 ",$0.00 ,106,$2.08 ,106,15,"$24,935 ",15,7,6,8,6,5,10,10.07%,0.00%,3.42%,1.18%,0.00%,12.89%,6.33%,0.15%,0.64%,5.47%,0.45%,3.37%,6.66%,0.00%,0.00%,21.93%,11.49%,2.01%,10.02%,1.35%,2.58%
1038070,Weekly Shoppers,1,56,"$45,000 ",F,10016,NY-NJ,Manhattan,9/1/02,$12.98 ,29,$5.04 ,74,5,"$2,596 ",$18.97 ,59,$11.07 ,62,13,"$5,055 ",9,14,9,17,9,7,9,0.00%,0.94%,0.00%,0.31%,0.00%,21.17%,11.24%,0.00%,8.95%,10.93%,2.66%,6.74%,1.29%,0.00%,0.76%,23.12%,0.00%,3.95%,4.69%,3.23%,0.00%
1092453,Every Three Week Shoppers,1,46,"$300,000 ",M,10280,NY-NJ,Manhattan,9/2/02,$77.88 ,0,$2.05 ,12,3,"$1,471 ",$125.80 ,11,$4.06 ,31,5,"$4,011 ",2,1,1,3,1,2,2,0.00%,0.00%,0.00%,0.00%,0.00%,2.73%,20.88%,0.00%,0.00%,2.43%,13.44%,20.09%,14.32%,0.00%,0.00%,8.67%,0.00%,0.00%,7.91%,0.00%,9.53%
1109294, Every Three Week Shoppers,0,61,"$150,000 ",F,10280,NY-NJ,Manhattan,9/2/02,$74.89 ,0,$131.90 ,23,16,"$3,477 ",$98.85 ,0,$241.21 ,39,29,"$5,708 ",5,2,3,1,1,6,5,48.05%,0.00%,2.23%,1.20%,0.00%,5.70%,2.46%,3.10%,7.61%,1.32%,0.00%,0.00%,0.50%,0.00%,0.00%,4.15%,0.00%,0.00%,3.22%,14.55%,5.11%
1107758, Every Three Week Shoppers,0,62,"$50,000 ",F,10282,NY-NJ,Manhattan,9/3/02,$6.99 ,0,$64.78 ,10,10,$912 ,$18.97 ,6,$193.41 ,24,21,"$2,127 ",4, -   ,2, -   , -   ,1,3,0.00%,0.00%,0.95%,0.00%,0.00%,7.42%,3.81%,0.00%,21.19%,1.07%,0.00%,4.52%,11.08%,0.00%,8.29%,0.00%,0.00%,7.85%,22.66%,11.14%,0.00%
1227728,3,1,52,"$100,000 ",F,10280,NY-NJ,Manhattan,9/5/02,$0.00 ,24,$7.99 ,26,3,"$8,252 ",$0.00 ,51,$22.94 ,51,8,"$17,141 ",13,1,2,1,2,3,2,2.30%,0.00%,2.45%,4.12%,1.07%,9.17%,4.92%,0.00%,5.80%,3.40%,0.50%,5.55%,0.72%,0.00%,1.60%,39.65%,0.00%,1.28%,4.05%,0.00%,13.42%
1228373,2,1,47,"$100,000 ",M,10280,NY-NJ,Manhattan,9/5/02,$0.00 ,26,$35.82 ,28,8,"$8,446 ",$0.00 ,37,$35.84 ,38,10,"$11,376 ",2,8,5,4,4,3,1,0.00%,4.42%,0.14%,3.05%,0.00%,16.36%,1.37%,0.00%,6.48%,9.93%,0.53%,6.60%,0.14%,0.00%,0.65%,14.23%,0.00%,0.74%,21.30%,0.34%,13.73%
1261548,2,1,53,"$300,000 ",M,10282,NY-NJ,Manhattan,9/5/02,$301.55 ,0,$0.04 ,45,3,"$16,710 ",$584.08 ,0,$26.05 ,93,7,"$32,791 ",35,3, -   , -   , -   ,1,6,0.21%,7.23%,6.83%,2.40%,0.22%,8.27%,9.05%,0.00%,5.81%,4.42%,1.63%,4.34%,18.57%,0.45%,0.52%,4.15%,0.00%,0.68%,10.89%,8.36%,5.95%
1214710,2,1,43,"$75,000 ",F,10280,NY-NJ,Manhattan,9/6/02,$0.00 ,45,$92.42 ,48,21,"$5,345 ",$0.00 ,96,$108.22 ,96,26,"$15,629 ",7,7,12,3,6,6,4,1.90%,0.00%,0.79%,3.26%,0.00%,48.48%,4.23%,0.00%,7.01%,7.98%,0.00%,3.11%,4.39%,0.00%,4.09%,1.95%,0.00%,4.71%,6.87%,0.00%,1.22%
1256360,1,1,50,"$75,000 ",F,10282,NY-NJ,Manhattan,9/6/02,$0.00 ,68,$82.28 ,75,19,"$20,090 ",$0.00 ,126,$122.83 ,128,29,"$38,102 ",2,23,9,4,8,22,6,0.00%,0.00%,1.27%,0.05%,0.00%,5.84%,3.76%,0.00%,2.45%,9.61%,2.10%,6.04%,4.97%,0.00%,12.15%,14.83%,0.00%,7.38%,15.69%,5.42%,8.45%
