"","carat","cut","color","clarity","depth","table","price","x","y","z","price_hilo"
"15324",1.5,"Very Good","E","VS1",59.5,61,16988,7.43,7.46,4.43,1
"16361",0.54,"Ideal","G","VVS2",61.8,56,2090,5.25,5.23,3.24,0
"22881",0.87,"Very Good","J","SI1",61.4,57,2300,6.14,6.17,3.78,0
"28635",0.41,"Premium","G","SI1",60.3,59,719,4.76,4.79,2.88,0
"31410",0.41,"Ideal","F","VS1",62.5,57,1076,4.76,4.75,2.97,0
"22127",0.31,"Very Good","G","VVS2",62.7,55,627,4.32,4.35,2.72,0
"21997",0.23,"Good","F","VVS2",62.3,61,425,3.93,3.94,2.45,0
"22331",0.3,"Ideal","D","VS1",61.6,54,718,4.34,4.36,2.68,0
"32163",0.56,"Ideal","H","SI1",62.3,53,1270,5.28,5.31,3.3,0
"19729",0.99,"Very Good","F","SI1",62.5,58,5112,6.36,6.38,3.98,1
"15982",0.27,"Very Good","E","VVS2",60.5,60,544,4.19,4.2,2.54,0
"31010",0.54,"Ideal","H","VS2",61.6,55,1453,5.23,5.25,3.23,0
"8971",0.61,"Ideal","G","VS1",62.4,55,2177,5.39,5.44,3.38,0
"28794",0.36,"Very Good","H","IF",62.3,56,865,4.55,4.58,2.85,0
"32721",1.09,"Ideal","H","VS2",61.3,56,6288,6.57,6.63,4.05,1
"6323",2.21,"Premium","J","SI2",60.6,62,12327,8.45,8.37,5.1,1
"37401",0.7,"Very Good","F","SI1",61.1,57,2409,5.7,5.73,3.49,0
"7781",0.72,"Ideal","E","SI1",61.3,56,2731,5.77,5.81,3.55,0
"20809",1.14,"Ideal","H","VS2",61.1,57,7409,6.71,6.78,4.12,1
"36570",1.77,"Very Good","G","SI1",63.1,57,11796,7.68,7.63,4.83,1
"18558",0.8,"Premium","J","VS1",61.6,60,2202,5.94,5.88,3.64,0
"30675",1.53,"Ideal","D","SI1",61.4,58,12981,7.35,7.44,4.54,1
"19369",0.44,"Very Good","I","VS1",62.8,56,810,4.83,4.88,3.05,0
