,,,,,,13.70178662,10.00724498,5.938308926,3.6320883,2.685039243,3.491042459
6.125424525,5.116484992,4.905492499,4.991582861,5.071734503,6.04202499,7.929722041,10.92270715,11.62503951,11.7410531,11.47686521,13.37317656
15.61802125,26.09345709,57.66423358,128.5075072,117.6218539,104.88062,85.63026708,103.7471304,124.6466302,154.1630475,546.3373339,790.4378137
818.7494382,659.7726451,593.8357571,463.2757441,488.3541081,615.1821913,618.0322193,536.2484527,443.9055957,362.9962297,365.9209596,341.9829019
249.761381,234.8393663,269.7339313,235.7140868,237.0273869,238.0088416,280.0017953,251.4423447,234.0723081,265.8932944,348.858916,424.4016722
411.038873,403.377491,414.8574216,435.3880445,462.9538646,643.1096876,662.6238428,579.1488073,606.2804273,642.6681859,725.3583771,825.3648875
912.790355,1066.562249,1129.096446,1220.09937,1887.750385,2616.203041,2509.201264,3874.592792,4102.380564,5348.377616,7781.032137,15194.10498
12891.06052,9396.599651,8992.046455,8018.054272,8423.247831,6769.324413,7118.68124,6677.730917,6590.20004,6415.114232,5345.764675,3665.740837
3659.232664,3659.201131,3923.417411,5145.797055,7292.919984,9393.020062,10659.62493,10628.7441,9792.419261,8387.159828,8339.68838,7246.166451
8365.735932,9646.192816,6885.037265,7224.347704,9264.668143,9478.762562,9597.276009,11648.20995,10647.19364,11895.12661,16670.62745,21995.87367
34752.85856,46377.02682,,,,,,,,,,
