"word","freq"
"new","new",977
"check","check",966
"crane","crane",964
"tesla","tesla",153
"…","…",132
"elon","elon",101
"spacex","spacex",86
"one","one",85
"money","money",68
"people","people",67
"can","can",67
"will","will",54
"deal","deal",50
"just","just",48
"like","like",48
"starting","starting",48
"bitcoin","bitcoin",47
"crpyto","crpyto",47
"promised","promised",47
"doge","doge",46
"good","good",42
"make","make",39
"mars","mars",39
"saw","saw",39
"want","want",38
"help","help",38
"incredible","incredible",38
"model","model",38
"dogecoin","dogecoin",37
"musk","musk",35
"beautiful","beautiful",35
"get","get",35
"felixschlang","felixschlang",35
"’s","’s",34
"falcon","falcon",34
"much","much",32
"second","second",32
"elonmusk","elonmusk",32
"de-orbiting","de-orbiting",31
"stage","stage",31
"jordy","jordy",31
"chumeltorres","chumeltorres",30
"ricardobsalinas","ricardobsalinas",30
"lol","lol",29
"huobiglobal","huobiglobal",29
"pancakeswap","pancakeswap",29
"protocolsigma","protocolsigma",29
"vitalikbuterin","vitalikbuterin",29
"man","man",28
"time","time",28
"think","think",28
"need","need",28
"now","now",28
"still","still",28
"gwynneshotwell","gwynneshotwell",25
"buy","buy",25
"way","way",24
"back","back",24
"great","great",24
"wholemarsblog","wholemarsblog",23
"even","even",23
"tsla","tsla",23
"’m","’m",23
"love","love",23
"day","day",23
"said","said",22
"please","please",22
"yo…","yo…",22
"know","know",22
"big","big",21
"budd","budd",21
"luck","luck",21
"minesraft","minesraft",21
"grab","grab",21
"suez","suez",20
"thank","thank",20
"car","car",20
"elongate","elongate",20
"ever","ever",19
"take","take",19
"welcome","welcome",19
"youre","youre",19
"teslaoraclecom","teslaoraclecom",19
"yes","yes",19
"theonion","theonion",18
"life","life",18
"ready","ready",18
"wow","wow",17
"con","con",17
"canal","canal",17
"llrisky","llrisky",17
"twitter","twitter",17
"yet","yet",17
"gonna","gonna",17
"cars","cars",17
"right","right",17
"<U+FE0F>","<U+FE0F>",17
"misterwelfare…","misterwelfare…",17
"ppathole","ppathole",16
"post","post",16
"made","made",16
"makes","makes",16
"safetesla","safetesla",16
"bpm","bpm",16
"crackheadbob","crackheadbob",16
"que","que",15
"shib","shib",15
"better","better",15
"dont","dont",15
"become","become",15
"rich","rich",15
"years","years",14
"poor","poor",14
"see","see",14
"moon","moon",14
"first","first",14
"btc","btc",14
"looking","looking",14
"fun","fun",14
"fiercebadger","fiercebadger",14
"nice","nice",13
"future","future",13
"hey","hey",13
"also","also",13
"look","look",13
"t…","t…",13
"twittersupport","twittersupport",13
"world","world",13
"well","well",13
"ride","ride",13
"looks","looks",13
"rover","rover",13
"capitalisttalk","capitalisttalk",13
"cntrlscrutnizr","cntrlscrutnizr",13
"tweet","tweet",12
"planet","planet",12
"billymk","billymk",12
"thats","thats",12
"frontal","frontal",12
"thing","thing",12
"rationaletienne","rationaletienne",12
"guy","guy",12
"erdayastronaut","erdayastronaut",12
"northmantrader","northmantrader",12
"real","real",12
"haha","haha",12
"live","live",12
"tacoswap","tacoswap",12
"confirmed","confirmed",12
"thanks","thanks",12
"s…","s…",12
"next","next",11
"richest","richest",11
"change","change",11
"yearletterman","yearletterman",11
"soon","soon",11
"coinmarketcap","coinmarketcap",11
"going","going",11
"texas","texas",11
"selling","selling",11
"price","price",11
"crypto","crypto",11
"old","old",11
"already","already",11
"eaealil","eaealil",11
"’d","’d",11
"qué","qué",11
"dearmooncrew","dearmooncrew",11
"long","long",11
"must","must",11
"thebabylonbee","thebabylonbee",11
"got","got",11
"aliens","aliens",10
"rocket","rocket",10
"strongest","strongest",10
"stop","stop",10
"thedogedaily","thedogedaily",10
"youtube","youtube",10
"slimjim","slimjim",10
"billgates","billgates",10
"snoopdogg","snoopdogg",10
"spacefrogs","spacefrogs",10
"blackmagicnews","blackmagicnews",10
"binance","binance",10
"competition","competition",10
"best","best",10
"poolz","poolz",10
"sexiest","sexiest",10
"sawyermerritt","sawyermerritt",10
"poodletoken","poodletoken",10
"really","really",10
"cabrón","cabrón",10
"estoy","estoy",10
"hablando","hablando",10
"momento","momento",10
"¿en","¿en",10
"work","work",10
"everyone","everyone",10
"cmc","cmc",10
"friends","friends",10
"listing","listing",10
"job","job",9
"never","never",9
"coming","coming",9
"shibarmy","shibarmy",9
"shibshibshib","shibshibshib",9
"problem","problem",9
"ago","ago",9
"’ve","’ve",9
"don’t","don’t",9
"pompliano","pompliano",9
"things","things",9
"epavlic","epavlic",9
"minimalduck","minimalduck",9
"call","call",9
"energy","energy",9
"idea","idea",9
"year","year",9
"every","every",9
"financial","financial",9
"come","come",9
"used","used",9
"gerberkawasaki","gerberkawasaki",9
"exeedme","exeedme",9
"set","set",9
"dogecoinrise","dogecoinrise",9
"away","away",9
"giving","giving",9
"home","home",9
"send","send",9
"another","another",9
"huge","huge",9
"without","without",9
"bsc","bsc",9
"ends","ends",9
"giveaway","giveaway",9
"likefollowretweet","likefollowretweet",9
"pinned","pinned",9
"posttag","posttag",9
"say","say",8
"argument","argument",8
"starship","starship",8
"start","start",8
"little","little",8
"shibaswap","shibaswap",8
"starlink","starlink",8
"reason","reason",8
"shit","shit",8
"unveiled","unveiled",8
"“","“",8
"performance","performance",8
"dogearmy","dogearmy",8
"nft","nft",8
"earth","earth",8
"poodl","poodl",8
"morning","morning",8
"party","party",8
"happy","happy",8
"danielregha","danielregha",8
"cant","cant",8
"space","space",8
"c…","c…",8
"sure","sure",8
"industry","industry",8
"application","application",8
"applying","applying",8
"spacex…","spacex…",8
"safemoon","safemoon",8
"use","use",8
"battery","battery",8
"defi","defi",8
"del","del",8
"felix","felix",8
"company","company",8
"nothing","nothing",7
"corinnakopf","corinnakopf",7
"black","black",7
"structure","structure",7
"fsd","fsd",7
"wrnygov","wrnygov",7
"join","join",7
"someone","someone",7
"hodlshib","hodlshib",7
"o…","o…",7
"may","may",7
"something","something",7
"cost","cost",7
"robotaxi","robotaxi",7
"true","true",7
"build","build",7
"original","original",7
"absolutely","absolutely",7
"march","march",7
"today","today",7
"name","name",7
"last","last",7
"actually","actually",7
"wtf","wtf",7
"far","far",7
"sir","sir",7
"thought","thought",7
"maybe","maybe",7
"guys","guys",7
"else","else",7
"’re","’re",7
"saturday","saturday",7
"night","night",7
"ada","ada",7
"greetings","greetings",7
"regards","regards",7
"stock","stock",7
"grow","grow",7
"amp","amp",7
"follow","follow",7
"range","range",7
"beksesebek","beksesebek",7
"los","los",7
"exactly","exactly",7
"many","many",7
"needs","needs",7
"bad","bad",7
"story","story",7
"genchuckyeager","genchuckyeager",6
"nasa","nasa",6
"humanity","humanity",6
"penis","penis",6
"technoking","technoking",6
"general","general",6
"paying","paying",6
"couple","couple",6
"team","team",6
"can’t","can’t",6
