"word","freq"
"therealdonaldtrump","therealdonaldtrump",12
"twitter","twitter",6
"trump","trump",3
"just","just",3
"donaldtrump","donaldtrump",2
"like","like",2
"still","still",2
"wish","wish",2
"dravid","dravid",2
"rahul","rahul",2
"going","going",2
"back","back",2
"donaldjtrumpjr","donaldjtrumpjr",2
"republicans","republicans",2
"man","man",2
"amp","amp",2
"foxlies","foxlies",2
"planned","planned",2
"administration","administration",1
"b…","b…",1
"defense","defense",1
"didnt","didnt",1
"give","give",1
"last","last",1
"little","little",1
"seem","seem",1
"shit","shit",1
"though","though",1
"bro","bro",1
"nudes","nudes",1
"send","send",1
"creation","creation",1
"easter","easter",1
"makeamericagreatagain","makeamericagreatagain",1
"whiteh…","whiteh…",1
"evanxriley","evanxriley",1
"issue","issue",1
"msnbc","msnbc",1
"msnbcdaily","msnbcdaily",1
"sitting","sitting",1
"whitehouse","whitehouse",1
"y…","y…",1
"really","really",1
"today","today",1
"nirvyb","nirvyb",1
"therealzantos","therealzantos",1
"happen","happen",1
"sheriffruth","sheriffruth",1
"wouldnt","wouldnt",1
"wall","wall",1
"biden","biden",1
"days","days",1
"joe","joe",1
"joebiden","joebiden",1
"largest…","largest…",1
"looks","looks",1
"new","new",1
"office","office",1
"record","record",1
"set","set",1
"well","well",1
"coming","coming",1
"love","love",1
"jeanclezzy","jeanclezzy",1
"pyprecords","pyprecords",1
"beyonce","beyonce",1
"dus","dus",1
"jouw","jouw",1
"ontmaskering","ontmaskering",1
"scalibq","scalibq",1
"spoednickje","spoednickje",1
"vanwege","vanwege",1
"verwijderd","verwijderd",1
"vizieroplinks","vizieroplinks",1
"cause","cause",1
"jail","jail",1
"let","let",1
"nigga","nigga",1
"sit","sit",1
"way","way",1
"’s","’s",1
"…","…",1
"help","help",1
"taxes","taxes",1
"can…","can…",1
"independent","independent",1
"know","know",1
"need","need",1
"needs","needs",1
"run","run",1
"ticket","ticket",1
"find","find",1
"four","four",1
"level","level",1
"news","news",1
"satisfaction","satisfaction",1
"without","without",1
"yearning","yearning",1
"years","years",1
"attention","attention",1
"blow","blow",1
"display","display",1
"magic","magic",1
"minds","minds",1
"pay","pay",1
"thursday","thursday",1
"boisecity","boisecity",1
"cnn","cnn",1
"covidvaccine","covidvaccine",1
"covid<U+30FC>","covid<U+30FC>",1
"gop","gop",1
"oklahoma","oklahoma",1
"pandemic","pandemic",1
"dann","dann",1
"direkt","direkt",1
"ge…","ge…",1
"jemand","jemand",1
"passieren","passieren",1
"seinen","seinen",1
"tag","tag",1
"weiß","weiß",1
"wenn","wenn",1
"wird","wird",1
"würde","würde",1
"ändert","ändert",1
"blackzop","blackzop",1
"better","better",1
"blowjob","blowjob",1
"chance","chance",1
"getting","getting",1
"price","price",1
"sad","sad",1
"claim","claim",1
"download","download",1
"ill","ill",1
"name","name",1
"incite…","incite…",1
"plot","plot",1
"seditious","seditious",1
"thestart","thestart",1
"ar…","ar…",1
"incite","incite",1
"misinform","misinform",1
"order","order",1
"start","start",1
"ultragulliblebigots","ultragulliblebigots",1
"banned","banned",1
"log","log",1
"love…","love…",1
"made","made",1
"post","post",1
"since","since",1
"damn","damn",1
"fell","fell",1
"never","never",1
"nothing","nothing",1
"right","right",1
"steps","steps",1
"account","account",1
"activate","activate",1
"investors","investors",1
"missing","missing",1
"sake","sake",1
"dick","dick",1
"got","got",1
"pic","pic",1
"der","der",1
"dichjasmin","dichjasmin",1
"lustig","lustig",1
"war","war",1
"mjwatsonfanatic","mjwatsonfanatic",1
"bitte","bitte",1
"denn","denn",1
"hat","hat",1
"herr","herr",1
"ich","ich",1
"impfst…","impfst…",1
"impfversprechen","impfversprechen",1
"sein","sein",1
"sie","sie",1
"sommer","sommer",1
"soviel","soviel",1
"vergangenen","vergangenen",1
"wer","wer",1
"donaldtrump…","donaldtrump…",1
"qanons","qanons",1
"republicansaredestroyingamerica","republicansaredestroyingamerica",1
"republicansaretheproblem","republicansaretheproblem",1
"rnc","rnc",1
"senategop","senategop",1
"alcuni","alcuni",1
"dal","dal",1
"durante","durante",1
"fotografati","fotografati",1
"inviato","inviato",1
"italiani","italiani",1
"l’assalt…","l’assalt…",1
"nostro","nostro",1
"scoop","scoop",1
"simpatizzanti","simpatizzanti",1
"washingtondc","washingtondc",1
