,Qtr1,Qtr2,Qtr3,Qtr4
2011,,,9.069318333,3.275741639
2012,5.388313104,5.36518687,10.14322272,12.20485952
2013,33.35962998,117.010124,104.4575894,496.442899
2014,691.8197235,521.8979716,533.694225,356.8693681
2015,251.9984104,236.9179873,255.4014955,346.3577331
2016,409.8981579,513.2582611,616.1235323,731.1932238
2017,1035.135931,1907.794882,3488.793833,9459.21657
2018,10460.90118,7744.418058,6797.769327,5139.993993
2019,3750.219822,7277.417945,10366.43497,7987.214848
2020,8269.379789,8662.615609,10630.71602,16855.86774
2021,39942.21939,,,
