,GameId,HomeTeam,AwayTeam,Home_Score,Away_Score,WTeamID,WScore,LTeamID,LScore,Wloc
1,1,Virginia Tech Hokies,Notre Dame Fighting Irish,81,66,Virginia Tech Hokies,81,Notre Dame Fighting Irish,66,H
2,10,Wake Forest Demon Deacons,Duke Blue Devils,65,87,Duke Blue Devils,87,Wake Forest Demon Deacons,65,A
3,100,Georgia Tech Yellow Jackets,Pittsburgh Panthers,73,65,Georgia Tech Yellow Jackets,73,Pittsburgh Panthers,65,H
4,101,Syracuse Orange,Duke Blue Devils,65,75,Duke Blue Devils,75,Syracuse Orange,65,A
5,102,Louisville Cardinals,Virginia Cavaliers,52,64,Virginia Cavaliers,64,Louisville Cardinals,52,A
6,103,Clemson Tigers,Boston College Eagles,76,66,Clemson Tigers,76,Boston College Eagles,66,H
7,104,Miami (FL) Hurricanes,Georgia Tech Yellow Jackets,80,65,Miami (FL) Hurricanes,80,Georgia Tech Yellow Jackets,65,H
8,105,North Carolina Tar Heels,Florida State Seminoles,77,59,North Carolina Tar Heels,77,Florida State Seminoles,59,H
9,106,Notre Dame Fighting Irish,Virginia Tech Hokies,59,67,Virginia Tech Hokies,67,Notre Dame Fighting Irish,59,A
10,107,North Carolina State Wolfpack,Wake Forest Demon Deacons,94,74,North Carolina State Wolfpack,94,Wake Forest Demon Deacons,74,H
11,108,Florida State Seminoles,Notre Dame Fighting Irish,68,61,Florida State Seminoles,68,Notre Dame Fighting Irish,61,H
12,109,Virginia Tech Hokies,Duke Blue Devils,77,72,Virginia Tech Hokies,77,Duke Blue Devils,72,H
13,11,North Carolina State Wolfpack,North Carolina Tar Heels,82,90,North Carolina Tar Heels,90,North Carolina State Wolfpack,82,A
14,110,Wake Forest Demon Deacons,Miami (FL) Hurricanes,76,75,Wake Forest Demon Deacons,76,Miami (FL) Hurricanes,75,H
15,111,North Carolina Tar Heels,Syracuse Orange,93,85,North Carolina Tar Heels,93,Syracuse Orange,85,H
16,112,Pittsburgh Panthers,Clemson Tigers,48,62,Clemson Tigers,62,Pittsburgh Panthers,48,A
17,113,Virginia Cavaliers,Georgia Tech Yellow Jackets,81,51,Virginia Cavaliers,81,Georgia Tech Yellow Jackets,51,H
18,114,Boston College Eagles,Louisville Cardinals,66,59,Boston College Eagles,66,Louisville Cardinals,59,H
19,115,Clemson Tigers,North Carolina Tar Heels,79,81,North Carolina Tar Heels,81,Clemson Tigers,79,A
