"","GameId","GameDate","NeutralSite","AwayTeam","HomeTeam"
"1",1,"1/1/2019 13:00",0,"Notre Dame Fighting Irish","Virginia Tech Hokies"
"2",2,"1/3/2019 19:00",0,"North Carolina State Wolfpack","Miami (FL) Hurricanes"
"3",3,"1/5/2019 3:27",0,"Clemson Tigers","Duke Blue Devils"
"4",4,"1/5/2019 12:00",0,"Boston College Eagles","Virginia Tech Hokies"
"5",5,"1/5/2019 12:00",0,"Syracuse Orange","Notre Dame Fighting Irish"
"6",6,"1/5/2019 12:00",0,"North Carolina Tar Heels","Pittsburgh Panthers"
"7",7,"1/5/2019 14:00",0,"Wake Forest Demon Deacons","Georgia Tech Yellow Jackets"
"8",8,"1/5/2019 15:00",0,"Florida State Seminoles","Virginia Cavaliers"
"9",9,"1/6/2019 18:00",0,"Miami (FL) Hurricanes","Louisville Cardinals"
"10",10,"1/8/2019 19:00",0,"Duke Blue Devils","Wake Forest Demon Deacons"
"11",11,"1/8/2019 21:00",0,"North Carolina Tar Heels","North Carolina State Wolfpack"
"12",12,"1/9/2019 19:00",0,"Virginia Tech Hokies","Georgia Tech Yellow Jackets"
"13",13,"1/9/2019 20:00",0,"Clemson Tigers","Syracuse Orange"
"14",14,"1/9/2019 20:00",0,"Louisville Cardinals","Pittsburgh Panthers"
"15",15,"1/9/2019 21:00",0,"Miami (FL) Hurricanes","Florida State Seminoles"
"16",16,"1/9/2019 21:00",0,"Virginia Cavaliers","Boston College Eagles"
"17",17,"1/12/2019 12:00",0,"Boston College Eagles","Notre Dame Fighting Irish"
"18",18,"1/12/2019 12:00",0,"Virginia Cavaliers","Clemson Tigers"
"19",19,"1/12/2019 12:00",0,"Pittsburgh Panthers","North Carolina State Wolfpack"
"20",20,"1/12/2019 12:00",0,"Louisville Cardinals","North Carolina Tar Heels"
"21",21,"1/12/2019 14:00",0,"Duke Blue Devils","Florida State Seminoles"
"22",22,"1/12/2019 14:00",0,"Wake Forest Demon Deacons","Miami (FL) Hurricanes"
"23",23,"1/12/2019 18:00",0,"Georgia Tech Yellow Jackets","Syracuse Orange"
"24",24,"1/14/2019 19:00",0,"Syracuse Orange","Duke Blue Devils"
"25",25,"1/14/2019 19:00",0,"Florida State Seminoles","Pittsburgh Panthers"
"26",26,"1/15/2019 20:00",0,"North Carolina State Wolfpack","Wake Forest Demon Deacons"
"27",27,"1/15/2019 20:00",0,"Virginia Tech Hokies","Virginia Cavaliers"
"28",28,"1/15/2019 21:00",0,"Notre Dame Fighting Irish","North Carolina Tar Heels"
"29",29,"1/16/2019 19:00",0,"Boston College Eagles","Louisville Cardinals"
"30",30,"1/16/2019 21:00",0,"Georgia Tech Yellow Jackets","Clemson Tigers"
"31",31,"1/19/2019 3:27",0,"Virginia Cavaliers","Duke Blue Devils"
"32",32,"1/19/2019 12:00",0,"North Carolina Tar Heels","Miami (FL) Hurricanes"
"33",33,"1/19/2019 14:00",0,"North Carolina State Wolfpack","Notre Dame Fighting Irish"
"34",34,"1/19/2019 14:00",0,"Pittsburgh Panthers","Syracuse Orange"
"35",35,"1/19/2019 16:00",0,"Wake Forest Demon Deacons","Virginia Tech Hokies"
"36",36,"1/19/2019 16:00",0,"Louisville Cardinals","Georgia Tech Yellow Jackets"
"37",37,"1/20/2019 12:00",0,"Florida State Seminoles","Boston College Eagles"
"38",38,"1/21/2019 19:00",0,"Virginia Tech Hokies","North Carolina Tar Heels"
"39",39,"1/22/2019 19:00",0,"Clemson Tigers","Florida State Seminoles"
"40",40,"1/22/2019 19:00",0,"Notre Dame Fighting Irish","Georgia Tech Yellow Jackets"
"41",41,"1/22/2019 21:00",0,"Wake Forest Demon Deacons","Virginia Cavaliers"
"42",42,"1/22/2019 21:00",0,"Duke Blue Devils","Pittsburgh Panthers"
